,control1_rna,control2_rna,control3_rna,het1_rna,het2_rna,het3_rna,homo1_rna,homo2_rna,homo3_rna
Kifc3,2869,3114,2932,3593,3145,3361,2027,2358,2524
Kifc5b,1750,1898,1669,1770,1500,1737,1716,2135,1480
Kin,592,640,453,640,587,707,700,1105,787
Kir3dl1,0,0,0,0,0,0,0,0,0
Kir3dl2,0,1,0,1,0,0,1,0,0
Kirrel,13784,13725,12186,19275,17127,17674,12449,15381,13768
Kirrel2,0,0,0,0,0,0,0,0,0
Kirrel3,115,124,100,282,242,346,277,282,233
Kirrel3os,0,0,0,0,0,0,0,0,0
Kis2,0,0,0,0,0,0,0,0,0
Kiss1,0,0,0,0,0,0,0,0,0
Kiss1r,5,8,3,16,19,8,22,21,15
Kit,0,2,0,0,0,0,0,0,0
Kitl,758,797,764,215,207,279,2035,5479,2467
Kiz,309,332,297,706,685,630,503,784,507
Kl,5,6,2,9,12,7,0,1,2
Klb,0,0,0,0,0,1,2,1,0
Klc1,4061,4155,3775,5164,4374,4765,3328,3954,3287
Klc2,1382,1478,1231,1405,1174,1125,1348,1611,1115
Klc3,170,160,152,51,53,61,232,306,156
Klc4,253,262,241,330,302,227,229,420,241
Klf1,3,0,3,4,8,7,2,1,4
Klf10,3162,3152,3434,3526,2843,3379,2961,5752,3654
Klf11,162,145,131,224,233,380,207,188,239
Klf12,1,1,1,189,164,178,1,1,0
Klf13,4148,4211,3829,4888,4193,4162,1911,2764,2643
Klf14,0,1,0,0,0,0,0,0,0
Klf15,0,1,2,8,13,11,3,1,2
Klf16,2904,2764,2473,1889,1589,1774,2730,3354,2840
Klf17,0,0,0,0,0,0,0,0,1
Klf2,287,300,316,305,233,425,322,375,350
Klf3,2640,2690,2515,3040,2814,2629,2293,3632,2587
Klf4,3839,3947,4058,4871,4395,3630,2041,3238,2612
Klf5,867,904,710,844,848,687,1203,1935,1647
Klf6,9630,10317,8466,7083,7180,7780,8643,14859,10987
Klf7,1888,2026,1645,2475,2483,2400,1293,1821,1587
Klf8,191,149,102,113,108,112,51,67,37
Klf9,1087,1206,970,2509,2162,2268,751,1379,1198
Klhdc1,143,163,140,143,139,118,75,109,122
Klhdc10,3310,3482,3161,4118,3873,4060,2912,3782,3219
Klhdc2,3525,3686,3221,3185,2876,2897,2421,3097,2651
Klhdc3,2027,2120,1882,2635,2333,2051,1699,1981,1537
Klhdc4,1057,1080,1065,919,771,800,926,1137,833
Klhdc7a,1,0,0,5,3,3,2,4,8
Klhdc7b,1,0,0,2,0,0,1,1,0
Klhdc8a,5956,6252,5273,9146,8001,7853,2818,2894,2887
Klhdc8b,123,110,92,156,117,102,122,165,105
Klhdc9,4,0,0,2,3,1,3,2,0
Klhl1,22,20,27,2,5,3,1,2,1
Klhl10,9,5,8,14,10,5,9,16,5
